# Final state angular momentum:   1
# Broadening parameter (in eV):    0.890
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
  -15.00000000    0.00002157
  -14.78696742    0.00002182
  -14.57393484    0.00002207
  -14.36090226    0.00002233
  -14.14786967    0.00002259
  -13.93483709    0.00002286
  -13.72180451    0.00002314
  -13.50877193    0.00002342
  -13.29573935    0.00002371
  -13.08270677    0.00002400
  -12.86967419    0.00002431
  -12.65664160    0.00002462
  -12.44360902    0.00002493
  -12.23057644    0.00002526
  -12.01754386    0.00002559
  -11.80451128    0.00002594
  -11.59147870    0.00002629
  -11.37844612    0.00002665
  -11.16541353    0.00002702
  -10.95238095    0.00002739
  -10.73934837    0.00002778
  -10.52631579    0.00002818
  -10.31328321    0.00002860
  -10.10025063    0.00002902
   -9.88721805    0.00002945
   -9.67418546    0.00002990
   -9.46115288    0.00003036
   -9.24812030    0.00003084
   -9.03508772    0.00003133
   -8.82205514    0.00003183
   -8.60902256    0.00003236
   -8.39598997    0.00003289
   -8.18295739    0.00003345
   -7.96992481    0.00003403
   -7.75689223    0.00003462
   -7.54385965    0.00003524
   -7.33082707    0.00003588
   -7.11779449    0.00003654
   -6.90476190    0.00003723
   -6.69172932    0.00003794
   -6.47869674    0.00003868
   -6.26566416    0.00003946
   -6.05263158    0.00004026
   -5.83959900    0.00004110
   -5.62656642    0.00004198
   -5.41353383    0.00004290
   -5.20050125    0.00004386
   -4.98746867    0.00004486
   -4.77443609    0.00004592
   -4.56140351    0.00004703
   -4.34837093    0.00004820
   -4.13533835    0.00004944
   -3.92230576    0.00005075
   -3.70927318    0.00005214
   -3.49624060    0.00005362
   -3.28320802    0.00005520
   -3.07017544    0.00005690
   -2.85714286    0.00005872
   -2.64411028    0.00006068
   -2.43107769    0.00006281
   -2.21804511    0.00006514
   -2.00501253    0.00006769
   -1.79197995    0.00007052
   -1.57894737    0.00007368
   -1.36591479    0.00007723
   -1.15288221    0.00008129
   -0.93984962    0.00008597
   -0.72681704    0.00009144
   -0.51378446    0.00009789
   -0.30075188    0.00010550
   -0.08771930    0.00011398
    0.12531328    0.00012424
    0.33834586    0.00013623
    0.55137845    0.00014921
    0.76441103    0.00016355
    0.97744361    0.00017897
    1.19047619    0.00019507
    1.40350877    0.00021147
    1.61654135    0.00022785
    1.82957393    0.00024403
    2.04260652    0.00026047
    2.25563910    0.00027843
    2.46867168    0.00029915
    2.68170426    0.00032249
    2.89473684    0.00034614
    3.10776942    0.00036641
    3.32080201    0.00038046
    3.53383459    0.00038775
    3.74686717    0.00038978
    3.95989975    0.00038922
    4.17293233    0.00038931
    4.38596491    0.00039310
    4.59899749    0.00040277
    4.81203008    0.00041956
    5.02506266    0.00044407
    5.23809524    0.00047669
    5.45112782    0.00051768
    5.66416040    0.00056679
    5.87719298    0.00062269
    6.09022556    0.00068286
    6.30325815    0.00074390
    6.51629073    0.00080166
    6.72932331    0.00085176
    6.94235589    0.00089107
    7.15538847    0.00091978
    7.36842105    0.00094185
    7.58145363    0.00096276
    7.79448622    0.00098655
    8.00751880    0.00101388
    8.22055138    0.00104192
    8.43358396    0.00106551
    8.64661654    0.00107903
    8.85964912    0.00107880
    9.07268170    0.00106571
    9.28571429    0.00104619
    9.49874687    0.00102976
    9.71177945    0.00102493
    9.92481203    0.00103680
   10.13784461    0.00106745
   10.35087719    0.00111732
   10.56390977    0.00118593
   10.77694236    0.00127106
   10.98997494    0.00136777
   11.20300752    0.00146835
   11.41604010    0.00156419
   11.62907268    0.00164934
   11.84210526    0.00172244
   12.05513784    0.00178383
   12.26817043    0.00183166
   12.48120301    0.00186343
   12.69423559    0.00188132
   12.90726817    0.00189317
   13.12030075    0.00190728
   13.33333333    0.00192712
   13.54636591    0.00195070
   13.75939850    0.00197376
   13.97243108    0.00199278
   14.18546366    0.00200613
   14.39849624    0.00201430
   14.61152882    0.00201996
   14.82456140    0.00202830
   15.03759398    0.00204666
   15.25062657    0.00208172
   15.46365915    0.00213565
   15.67669173    0.00220534
   15.88972431    0.00228617
   16.10275689    0.00237673
   16.31578947    0.00247882
   16.52882206    0.00259149
   16.74185464    0.00270583
   16.95488722    0.00280864
   17.16791980    0.00289263
   17.38095238    0.00296243
   17.59398496    0.00302972
   17.80701754    0.00310152
   18.02005013    0.00317112
   18.23308271    0.00321863
