# Final state angular momentum:   1
# Broadening parameter (in eV):    0.890
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
   18.44611529    0.00322219
   18.65914787    0.00317150
   18.87218045    0.00307187
   19.08521303    0.00293714
   19.29824561    0.00278165
   19.51127820    0.00261829
   19.72431078    0.00245972
   19.93734336    0.00231694
   20.15037594    0.00219525
   20.36340852    0.00209344
   20.57644110    0.00200773
   20.78947368    0.00193601
   21.00250627    0.00187820
   21.21553885    0.00183372
   21.42857143    0.00179946
   21.64160401    0.00177004
   21.85463659    0.00174005
   22.06766917    0.00170644
   22.28070175    0.00166955
   22.49373434    0.00163194
   22.70676692    0.00159588
   22.91979950    0.00156190
   23.13283208    0.00152930
   23.34586466    0.00149814
   23.55889724    0.00147041
   23.77192982    0.00144892
   23.98496241    0.00143481
   24.19799499    0.00142600
   24.41102757    0.00141815
   24.62406015    0.00140788
   24.83709273    0.00139550
   25.05012531    0.00138453
   25.26315789    0.00137842
   25.47619048    0.00137766
   25.68922306    0.00137986
   25.90225564    0.00138182
   26.11528822    0.00138170
   26.32832080    0.00137981
   26.54135338    0.00137770
   26.75438596    0.00137695
   26.96741855    0.00137886
   27.18045113    0.00138510
   27.39348371    0.00139806
   27.60651629    0.00142011
   27.81954887    0.00145200
   28.03258145    0.00149180
   28.24561404    0.00153543
   28.45864662    0.00157884
   28.67167920    0.00162054
   28.88471178    0.00166280
   29.09774436    0.00171040
   29.31077694    0.00176728
   29.52380952    0.00183329
   29.73684211    0.00190287
   29.94987469    0.00196664
   30.16290727    0.00201509
   30.37593985    0.00204257
   30.58897243    0.00204933
   30.80200501    0.00204043
   31.01503759    0.00202282
   31.22807018    0.00200294
   31.44110276    0.00198539
   31.65413534    0.00197144
   31.86716792    0.00195729
   32.08020050    0.00193432
   32.29323308    0.00189330
   32.50626566    0.00183067
   32.71929825    0.00175201
   32.93233083    0.00166969
   33.14536341    0.00159658
   33.35839599    0.00154062
   33.57142857    0.00150319
   33.78446115    0.00148070
   33.99749373    0.00146774
   34.21052632    0.00146012
   34.42355890    0.00145608
   34.63659148    0.00145518
   34.84962406    0.00145629
   35.06265664    0.00145665
   35.27568922    0.00145306
   35.48872180    0.00144430
   35.70175439    0.00143239
   35.91478697    0.00142151
   36.12781955    0.00141557
   36.34085213    0.00141643
   36.55388471    0.00142354
   36.76691729    0.00143477
   36.97994987    0.00144745
   37.19298246    0.00145941
   37.40601504    0.00146946
   37.61904762    0.00147707
   37.83208020    0.00148196
   38.04511278    0.00148414
   38.25814536    0.00148446
   38.47117794    0.00148468
   38.68421053    0.00148704
   38.89724311    0.00149325
   39.11027569    0.00150316
   39.32330827    0.00151428
   39.53634085    0.00152266
   39.74937343    0.00152470
   39.96240602    0.00151842
   40.17543860    0.00150331
   40.38847118    0.00147990
   40.60150376    0.00144928
   40.81453634    0.00141298
   41.02756892    0.00137321
   41.24060150    0.00133308
   41.45363409    0.00129618
   41.66666667    0.00126559
   41.87969925    0.00124292
   42.09273183    0.00122788
   42.30576441    0.00121860
   42.51879699    0.00121272
   42.73182957    0.00120866
   42.94486216    0.00120619
   43.15789474    0.00120587
   43.37092732    0.00120808
   43.58395990    0.00121226
   43.79699248    0.00121686
   44.01002506    0.00122001
   44.22305764    0.00122048
   44.43609023    0.00121840
   44.64912281    0.00121496
   44.86215539    0.00121152
   45.07518797    0.00120845
   45.28822055    0.00120498
   45.50125313    0.00120000
   45.71428571    0.00119347
   45.92731830    0.00118702
   46.14035088    0.00118340
   46.35338346    0.00118507
   46.56641604    0.00119297
   46.77944862    0.00120583
   46.99248120    0.00122073
   47.20551378    0.00123455
   47.41854637    0.00124582
   47.63157895    0.00125566
   47.84461153    0.00126686
   48.05764411    0.00128183
   48.27067669    0.00130092
   48.48370927    0.00132195
   48.69674185    0.00134106
   48.90977444    0.00135450
   49.12280702    0.00136042
   49.33583960    0.00135960
   49.54887218    0.00135437
   49.76190476    0.00134682
   49.97493734    0.00133764
   50.18796992    0.00132641
   50.40100251    0.00131276
   50.61403509    0.00129717
   50.82706767    0.00128056
   51.04010025    0.00126334
   51.25313283    0.00124497
   51.46616541    0.00122446
   51.67919799    0.00120142
   51.89223058    0.00117675
   52.10526316    0.00115241
   52.31829574    0.00113047
   52.53132832    0.00111227
   52.74436090    0.00109818
   52.95739348    0.00108780
   53.17042607    0.00108035
   53.38345865    0.00107521
   53.59649123    0.00107241
   53.80952381    0.00107261
   54.02255639    0.00107677
   54.23558897    0.00108543
   54.44862155    0.00109816
   54.66165414    0.00111370
   54.87468672    0.00113059
   55.08771930    0.00114816
   55.30075188    0.00116698
   55.51378446    0.00118852
   55.72681704    0.00121415
   55.93984962    0.00124408
   56.15288221    0.00127673
   56.36591479    0.00130884
   56.57894737    0.00133647
   56.79197995    0.00135670
   57.00501253    0.00136906
   57.21804511    0.00137586
   57.43107769    0.00138125
   57.64411028    0.00138932
   57.85714286    0.00140266
   58.07017544    0.00142187
   58.28320802    0.00144612
   58.49624060    0.00147429
   58.70927318    0.00150595
   58.92230576    0.00154170
   59.13533835    0.00158274
   59.34837093    0.00163004
   59.56140351    0.00168359
   59.77443609    0.00174237
   59.98746867    0.00180497
   60.20050125    0.00187029
   60.41353383    0.00193799
   60.62656642    0.00200834
   60.83959900    0.00208100
   61.05263158    0.00215360
   61.26566416    0.00222124
   61.47869674    0.00227789
   61.69172932    0.00231914
   61.90476190    0.00234460
   62.11779449    0.00235824
   62.33082707    0.00236638
   62.54385965    0.00237471
   62.75689223    0.00238592
   62.96992481    0.00239907
   63.18295739    0.00241076
   63.39598997    0.00241770
   63.60902256    0.00241889
   63.82205514    0.00241599
   64.03508772    0.00241191
   64.24812030    0.00240896
   64.46115288    0.00240808
   64.67418546    0.00240910
   64.88721805    0.00241163
   65.10025063    0.00241568
   65.31328321    0.00242196
   65.52631579    0.00243138
   65.73934837    0.00244420
   65.95238095    0.00245937
   66.16541353    0.00247508
   66.37844612    0.00249013
   66.59147870    0.00250475
   66.80451128    0.00252030
   67.01754386    0.00253842
   67.23057644    0.00256009
   67.44360902    0.00258499
   67.65664160    0.00261127
   67.86967419    0.00263580
   68.08270677    0.00265507
   68.29573935    0.00266633
   68.50877193    0.00266843
   68.72180451    0.00266172
   68.93483709    0.00264722
   69.14786967    0.00262555
   69.36090226    0.00259662
   69.57393484    0.00256029
   69.78696742    0.00251738
   70.00000000    0.00247015
