# Final state angular momentum:   1
# Broadening parameter (in eV):    0.890
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
   35.06265664    0.00186447
   35.27568922    0.00183556
   35.48872180    0.00179405
   35.70175439    0.00174235
   35.91478697    0.00168641
   36.12781955    0.00163366
   36.34085213    0.00158926
   36.55388471    0.00155414
   36.76691729    0.00152593
   36.97994987    0.00150158
   37.19298246    0.00147954
   37.40601504    0.00146011
   37.61904762    0.00144443
   37.83208020    0.00143321
   38.04511278    0.00142632
   38.25814536    0.00142287
   38.47117794    0.00142168
   38.68421053    0.00142167
   38.89724311    0.00142226
   39.11027569    0.00142369
   39.32330827    0.00142705
   39.53634085    0.00143345
   39.74937343    0.00144314
   39.96240602    0.00145536
   40.17543860    0.00146904
   40.38847118    0.00148362
   40.60150376    0.00149866
   40.81453634    0.00151301
   41.02756892    0.00152445
   41.24060150    0.00153067
   41.45363409    0.00153051
   41.66666667    0.00152420
   41.87969925    0.00151243
   42.09273183    0.00149572
   42.30576441    0.00147504
   42.51879699    0.00145265
   42.73182957    0.00143154
   42.94486216    0.00141378
   43.15789474    0.00139952
   43.37092732    0.00138732
   43.58395990    0.00137539
   43.79699248    0.00136257
   44.01002506    0.00134853
   44.22305764    0.00133348
   44.43609023    0.00131799
   44.64912281    0.00130288
   44.86215539    0.00128890
   45.07518797    0.00127604
   45.28822055    0.00126319
   45.50125313    0.00124871
   45.71428571    0.00123160
   45.92731830    0.00121248
   46.14035088    0.00119345
   46.35338346    0.00117695
   46.56641604    0.00116468
   46.77944862    0.00115725
   46.99248120    0.00115430
   47.20551378    0.00115500
   47.41854637    0.00115843
   47.63157895    0.00116401
   47.84461153    0.00117178
   48.05764411    0.00118238
   48.27067669    0.00119650
   48.48370927    0.00121409
   48.69674185    0.00123388
   48.90977444    0.00125392
   49.12280702    0.00127272
   49.33583960    0.00129006
   49.54887218    0.00130645
   49.76190476    0.00132154
   49.97493734    0.00133309
   50.18796992    0.00133766
   50.40100251    0.00133247
   50.61403509    0.00131680
   50.82706767    0.00129191
   51.04010025    0.00126012
   51.25313283    0.00122417
   51.46616541    0.00118713
   51.67919799    0.00115216
   51.89223058    0.00112182
   52.10526316    0.00109742
   52.31829574    0.00107902
   52.53132832    0.00106596
   52.74436090    0.00105773
   52.95739348    0.00105425
   53.17042607    0.00105557
   53.38345865    0.00106127
   53.59649123    0.00107026
   53.80952381    0.00108116
   54.02255639    0.00109289
   54.23558897    0.00110492
   54.44862155    0.00111685
   54.66165414    0.00112800
   54.87468672    0.00113732
   55.08771930    0.00114402
   55.30075188    0.00114807
   55.51378446    0.00115036
   55.72681704    0.00115216
   55.93984962    0.00115467
   56.15288221    0.00115886
   56.36591479    0.00116562
   56.57894737    0.00117592
   56.79197995    0.00119070
   57.00501253    0.00121059
   57.21804511    0.00123571
   57.43107769    0.00126562
   57.64411028    0.00129934
   57.85714286    0.00133516
   58.07017544    0.00137050
   58.28320802    0.00140251
   58.49624060    0.00142952
   58.70927318    0.00145237
   58.92230576    0.00147437
   59.13533835    0.00149961
   59.34837093    0.00153095
   59.56140351    0.00156856
   59.77443609    0.00160998
   59.98746867    0.00165138
   60.20050125    0.00168979
   60.41353383    0.00172465
   60.62656642    0.00175808
   60.83959900    0.00179365
   61.05263158    0.00183440
   61.26566416    0.00188167
   61.47869674    0.00193474
   61.69172932    0.00199106
   61.90476190    0.00204671
   62.11779449    0.00209725
   62.33082707    0.00213926
   62.54385965    0.00217170
   62.75689223    0.00219599
   62.96992481    0.00221460
   63.18295739    0.00222914
   63.39598997    0.00223966
   63.60902256    0.00224568
   63.82205514    0.00224778
   64.03508772    0.00224821
   64.24812030    0.00225009
   64.46115288    0.00225597
   64.67418546    0.00226712
   64.88721805    0.00228375
   65.10025063    0.00230572
   65.31328321    0.00233290
   65.52631579    0.00236495
   65.73934837    0.00240115
   65.95238095    0.00244036
   66.16541353    0.00248137
   66.37844612    0.00252320
   66.59147870    0.00256502
   66.80451128    0.00260578
   67.01754386    0.00264389
   67.23057644    0.00267746
   67.44360902    0.00270473
   67.65664160    0.00272432
   67.86967419    0.00273476
   68.08270677    0.00273402
   68.29573935    0.00271989
   68.50877193    0.00269130
   68.72180451    0.00264961
   68.93483709    0.00259816
   69.14786967    0.00254057
   69.36090226    0.00247937
   69.57393484    0.00241620
   69.78696742    0.00235268
   70.00000000    0.00229078
