# Final state angular momentum:   1
# Broadening parameter (in eV):    0.890
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
   21.64160401    0.00159738
   21.85463659    0.00158369
   22.06766917    0.00156701
   22.28070175    0.00154499
   22.49373434    0.00151998
   22.70676692    0.00149681
   22.91979950    0.00147893
   23.13283208    0.00146611
   23.34586466    0.00145532
   23.55889724    0.00144341
   23.77192982    0.00142874
   23.98496241    0.00141072
   24.19799499    0.00138915
   24.41102757    0.00136467
   24.62406015    0.00133942
   24.83709273    0.00131648
   25.05012531    0.00129846
   25.26315789    0.00128636
   25.47619048    0.00127931
   25.68922306    0.00127563
   25.90225564    0.00127385
   26.11528822    0.00127348
   26.32832080    0.00127527
   26.54135338    0.00128028
   26.75438596    0.00128813
   26.96741855    0.00129593
   27.18045113    0.00129947
   27.39348371    0.00129656
   27.60651629    0.00128928
   27.81954887    0.00128294
   28.03258145    0.00128254
   28.24561404    0.00129038
   28.45864662    0.00130616
   28.67167920    0.00132880
   28.88471178    0.00135801
   29.09774436    0.00139449
   29.31077694    0.00143876
   29.52380952    0.00148985
   29.73684211    0.00154501
   29.94987469    0.00160008
   30.16290727    0.00165045
   30.37593985    0.00169273
   30.58897243    0.00172623
   30.80200501    0.00175245
   31.01503759    0.00177295
   31.22807018    0.00178733
   31.44110276    0.00179380
   31.65413534    0.00179163
   31.86716792    0.00178317
   32.08020050    0.00177333
   32.29323308    0.00176750
   32.50626566    0.00177011
   32.71929825    0.00178445
   32.93233083    0.00181245
   33.14536341    0.00185408
   33.35839599    0.00190708
   33.57142857    0.00196753
   33.78446115    0.00203115
   33.99749373    0.00209441
   34.21052632    0.00215436
   34.42355890    0.00220733
   34.63659148    0.00224761
   34.84962406    0.00226821
   35.06265664    0.00226321
   35.27568922    0.00223006
   35.48872180    0.00217101
   35.70175439    0.00209328
   35.91478697    0.00200705
   36.12781955    0.00192205
   36.34085213    0.00184451
   36.55388471    0.00177606
   36.76691729    0.00171488
   36.97994987    0.00165811
   37.19298246    0.00160448
   37.40601504    0.00155527
   37.61904762    0.00151356
   37.83208020    0.00148256
   38.04511278    0.00146430
   38.25814536    0.00145895
   38.47117794    0.00146454
   38.68421053    0.00147738
   38.89724311    0.00149287
   39.11027569    0.00150659
   39.32330827    0.00151535
   39.53634085    0.00151772
   39.74937343    0.00151405
   39.96240602    0.00150622
   40.17543860    0.00149692
   40.38847118    0.00148844
   40.60150376    0.00148174
   40.81453634    0.00147632
   41.02756892    0.00147074
   41.24060150    0.00146371
   41.45363409    0.00145502
   41.66666667    0.00144588
   41.87969925    0.00143848
   42.09273183    0.00143520
   42.30576441    0.00143736
   42.51879699    0.00144453
   42.73182957    0.00145465
   42.94486216    0.00146481
   43.15789474    0.00147236
   43.37092732    0.00147571
   43.58395990    0.00147440
   43.79699248    0.00146849
   44.01002506    0.00145791
   44.22305764    0.00144260
   44.43609023    0.00142335
   44.64912281    0.00140207
   44.86215539    0.00138102
   45.07518797    0.00136135
   45.28822055    0.00134236
   45.50125313    0.00132236
   45.71428571    0.00130049
   45.92731830    0.00127804
   46.14035088    0.00125823
   46.35338346    0.00124470
   46.56641604    0.00123989
   46.77944862    0.00124437
   46.99248120    0.00125690
   47.20551378    0.00127516
   47.41854637    0.00129661
   47.63157895    0.00131949
   47.84461153    0.00134362
   48.05764411    0.00136995
   48.27067669    0.00139903
   48.48370927    0.00142917
   48.69674185    0.00145592
   48.90977444    0.00147384
   49.12280702    0.00147975
   49.33583960    0.00147526
   49.54887218    0.00146582
   49.76190476    0.00145719
   49.97493734    0.00145232
   50.18796992    0.00145058
   50.40100251    0.00144912
   50.61403509    0.00144466
   50.82706767    0.00143482
   51.04010025    0.00141843
   51.25313283    0.00139551
   51.46616541    0.00136708
   51.67919799    0.00133487
   51.89223058    0.00130099
   52.10526316    0.00126753
   52.31829574    0.00123648
   52.53132832    0.00120971
   52.74436090    0.00118898
   52.95739348    0.00117546
   53.17042607    0.00116908
   53.38345865    0.00116816
   53.59649123    0.00117004
   53.80952381    0.00117229
   54.02255639    0.00117378
   54.23558897    0.00117491
   54.44862155    0.00117666
   54.66165414    0.00117969
   54.87468672    0.00118385
   55.08771930    0.00118871
   55.30075188    0.00119426
   55.51378446    0.00120130
   55.72681704    0.00121112
   55.93984962    0.00122482
   56.15288221    0.00124291
   56.36591479    0.00126531
   56.57894737    0.00129169
   56.79197995    0.00132161
   57.00501253    0.00135444
   57.21804511    0.00138913
   57.43107769    0.00142416
   57.64411028    0.00145801
   57.85714286    0.00148956
   58.07017544    0.00151823
   58.28320802    0.00154368
   58.49624060    0.00156614
   58.70927318    0.00158696
   58.92230576    0.00160867
   59.13533835    0.00163414
   59.34837093    0.00166515
   59.56140351    0.00170149
   59.77443609    0.00174083
   59.98746867    0.00177980
   60.20050125    0.00181573
   60.41353383    0.00184823
   60.62656642    0.00187913
   60.83959900    0.00191090
   61.05263158    0.00194485
   61.26566416    0.00198046
   61.47869674    0.00201548
   61.69172932    0.00204676
   61.90476190    0.00207169
   62.11779449    0.00209025
   62.33082707    0.00210584
   62.54385965    0.00212381
   62.75689223    0.00214864
   62.96992481    0.00218196
   63.18295739    0.00222213
   63.39598997    0.00226495
   63.60902256    0.00230510
   63.82205514    0.00233809
   64.03508772    0.00236177
   64.24812030    0.00237652
   64.46115288    0.00238415
   64.67418546    0.00238655
   64.88721805    0.00238539
   65.10025063    0.00238269
   65.31328321    0.00238109
   65.52631579    0.00238335
   65.73934837    0.00239153
   65.95238095    0.00240639
   66.16541353    0.00242728
   66.37844612    0.00245248
   66.59147870    0.00247993
   66.80451128    0.00250791
   67.01754386    0.00253526
   67.23057644    0.00256058
   67.44360902    0.00258121
   67.65664160    0.00259272
   67.86967419    0.00258985
   68.08270677    0.00256863
   68.29573935    0.00252864
   68.50877193    0.00247386
   68.72180451    0.00241139
   68.93483709    0.00234877
   69.14786967    0.00229137
   69.36090226    0.00224101
   69.57393484    0.00219625
   69.78696742    0.00215385
   70.00000000    0.00211044
