# Final state angular momentum:   1
# Broadening parameter (in eV):    0.890
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
  -15.00000000    0.00002177
  -14.78696742    0.00002203
  -14.57393484    0.00002229
  -14.36090226    0.00002256
  -14.14786967    0.00002283
  -13.93483709    0.00002311
  -13.72180451    0.00002340
  -13.50877193    0.00002369
  -13.29573935    0.00002400
  -13.08270677    0.00002430
  -12.86967419    0.00002462
  -12.65664160    0.00002494
  -12.44360902    0.00002528
  -12.23057644    0.00002562
  -12.01754386    0.00002597
  -11.80451128    0.00002633
  -11.59147870    0.00002669
  -11.37844612    0.00002707
  -11.16541353    0.00002746
  -10.95238095    0.00002786
  -10.73934837    0.00002828
  -10.52631579    0.00002870
  -10.31328321    0.00002914
  -10.10025063    0.00002959
   -9.88721805    0.00003005
   -9.67418546    0.00003053
   -9.46115288    0.00003102
   -9.24812030    0.00003153
   -9.03508772    0.00003206
   -8.82205514    0.00003260
   -8.60902256    0.00003316
   -8.39598997    0.00003374
   -8.18295739    0.00003435
   -7.96992481    0.00003497
   -7.75689223    0.00003562
   -7.54385965    0.00003630
   -7.33082707    0.00003700
   -7.11779449    0.00003773
   -6.90476190    0.00003849
   -6.69172932    0.00003928
   -6.47869674    0.00004011
   -6.26566416    0.00004097
   -6.05263158    0.00004188
   -5.83959900    0.00004283
   -5.62656642    0.00004382
   -5.41353383    0.00004487
   -5.20050125    0.00004598
   -4.98746867    0.00004715
   -4.77443609    0.00004839
   -4.56140351    0.00004970
   -4.34837093    0.00005110
   -4.13533835    0.00005259
   -3.92230576    0.00005419
   -3.70927318    0.00005592
   -3.49624060    0.00005778
   -3.28320802    0.00005979
   -3.07017544    0.00006200
   -2.85714286    0.00006442
   -2.64411028    0.00006710
   -2.43107769    0.00007008
   -2.21804511    0.00007344
   -2.00501253    0.00007727
   -1.79197995    0.00008167
   -1.57894737    0.00008681
   -1.36591479    0.00009290
   -1.15288221    0.00010024
   -0.93984962    0.00010922
   -0.72681704    0.00012036
   -0.51378446    0.00013426
   -0.30075188    0.00015144
   -0.08771930    0.00017202
    0.12531328    0.00019558
    0.33834586    0.00021685
    0.55137845    0.00023461
    0.76441103    0.00024459
    0.97744361    0.00024705
    1.19047619    0.00024572
    1.40350877    0.00024436
    1.61654135    0.00024474
    1.82957393    0.00024703
    2.04260652    0.00025118
    2.25563910    0.00025734
    2.46867168    0.00026535
    2.68170426    0.00027455
    2.89473684    0.00028459
    3.10776942    0.00029609
    3.32080201    0.00031016
    3.53383459    0.00032746
    3.74686717    0.00034815
    3.95989975    0.00037252
    4.17293233    0.00040149
    4.38596491    0.00043614
    4.59899749    0.00047667
    4.81203008    0.00052138
    5.02506266    0.00056720
    5.23809524    0.00061193
    5.45112782    0.00065585
    5.66416040    0.00070040
    5.87719298    0.00074589
    6.09022556    0.00079169
    6.30325815    0.00083814
    6.51629073    0.00088596
    6.72932331    0.00093385
    6.94235589    0.00097936
    7.15538847    0.00102232
    7.36842105    0.00106522
    7.58145363    0.00110953
    7.79448622    0.00115265
    8.00751880    0.00118895
    8.22055138    0.00121382
    8.43358396    0.00122716
    8.64661654    0.00123317
    8.85964912    0.00123779
    9.07268170    0.00124715
    9.28571429    0.00126748
    9.49874687    0.00130393
    9.71177945    0.00135780
    9.92481203    0.00142417
   10.13784461    0.00149204
   10.35087719    0.00154881
   10.56390977    0.00158763
   10.77694236    0.00161158
   10.98997494    0.00163114
   11.20300752    0.00165879
   11.41604010    0.00170507
   11.62907268    0.00177614
   11.84210526    0.00187102
   12.05513784    0.00197834
   12.26817043    0.00207641
   12.48120301    0.00214150
   12.69423559    0.00216050
   12.90726817    0.00213598
   13.12030075    0.00208009
   13.33333333    0.00200742
   13.54636591    0.00193191
   13.75939850    0.00186468
   13.97243108    0.00181133
   14.18546366    0.00177132
   14.39849624    0.00174119
   14.61152882    0.00171874
   14.82456140    0.00170485
   15.03759398    0.00170285
   15.25062657    0.00171697
   15.46365915    0.00175089
   15.67669173    0.00180677
   15.88972431    0.00188533
   16.10275689    0.00198567
   16.31578947    0.00210317
   16.52882206    0.00222656
   16.74185464    0.00233805
   16.95488722    0.00242011
   17.16791980    0.00246630
   17.38095238    0.00248594
   17.59398496    0.00249560
   17.80701754    0.00250584
   18.02005013    0.00251490
   18.23308271    0.00251214
   18.44611529    0.00248725
   18.65914787    0.00243850
   18.87218045    0.00237337
   19.08521303    0.00230127
   19.29824561    0.00222683
   19.51127820    0.00214994
   19.72431078    0.00207009
   19.93734336    0.00198908
   20.15037594    0.00191040
   20.36340852    0.00183743
   20.57644110    0.00177250
   20.78947368    0.00171690
   21.00250627    0.00167158
   21.21553885    0.00163727
   21.42857143    0.00161350
